time,total_20
2000.01,10.1
2000.02,9.6
2000.03,8.6
2000.04,7.7
2000.05,7
2000.06,6.6
2000.07,6.5
2000.08,6.8
2000.09,6.6
2000.1,6.4
2000.11,6.6
2000.12,7.4
2001.01,8.4
2001.02,9
2001.03,8.7
2001.04,7.2
2001.05,6.9
2001.06,6.7
2001.07,6.5
2001.08,6.7
2001.09,6.3
2001.1,6.5
2001.11,7.1
2001.12,7.7
2002.01,8.3
2002.02,7.9
2002.03,7.4
2002.04,6.6
2002.05,6.2
2002.06,6
2002.07,6.2
2002.08,6.2
2002.09,5.6
2002.1,6
2002.11,5.9
2002.12,6.6
2003.01,8.4
2003.02,8.8
2003.03,8.2
2003.04,7.5
2003.05,7.4
2003.06,7.2
2003.07,7.3
2003.08,7.2
2003.09,6.7
2003.1,7.1
2003.11,7.7
2003.12,8.3
2004.01,8.6
2004.02,9.1
2004.03,8.7
2004.04,7.8
2004.05,8
2004.06,7.4
2004.07,7.3
2004.08,7.5
2004.09,6.9
2004.1,7.4
2004.11,7.4
2004.12,8.1
2005.01,8.4
2005.02,8.8
2005.03,8.5
2005.04,8
2005.05,7.2
2005.06,7.4
2005.07,7.8
2005.08,7.4
2005.09,7.1
2005.1,7.2
2005.11,7.3
2005.12,7.6
2006.01,7.8
2006.02,8.6
2006.03,8.5
2006.04,8
2006.05,7.2
2006.06,7.7
2006.07,8
2006.08,7.5
2006.09,7.3
2006.1,7.9
2006.11,7.4
2006.12,7.5
2007.01,7.3
2007.02,7.7
2007.03,7.4
2007.04,7.6
2007.05,7
2007.06,7.1
2007.07,7.2
2007.08,6.6
2007.09,7
2007.1,6.5
2007.11,7
2007.12,7
2008.01,6.8
2008.02,7.4
2008.03,7.7
2008.04,7.4
2008.05,6.9
2008.06,7.3
2008.07,7
2008.08,6.9
2008.09,6
2008.1,6.7
2008.11,6.6
2008.12,7
2009.01,7.7
2009.02,8.5
2009.03,8.7
2009.04,7.9
2009.05,7.5
2009.06,7.9
2009.07,8
2009.08,8
2009.09,7.6
2009.1,7.4
2009.11,7.3
2009.12,7.2
2010.01,8.6
2010.02,9.7
2010.03,8.8
2010.04,8.3
2010.05,6.3
2010.06,7.5
2010.07,8.2
2010.08,7
2010.09,7.2
2010.1,7
2010.11,6.4
2010.12,7.4
2011.01,8
2011.02,8.3
2011.03,9.3
2011.04,8.7
2011.05,7.4
2011.06,7.3
2011.07,6.9
2011.08,6.2
2011.09,6.2
2011.1,6.6
2011.11,6.7
2011.12,7.4
2012.01,7.6
2012.02,8.2
2012.03,8.3
2012.04,8.6
2012.05,8.1
2012.06,7.6
2012.07,7
2012.08,6.5
2012.09,6.5
2012.1,6.9
2012.11,6.7
2012.12,7.2
2013.01,7.3
2013.02,9
2013.03,8.5
2013.04,8.1
2013.05,7.2
2013.06,7.7
2013.07,7.7
2013.08,7.5
2013.09,7.8
2013.1,7.8
2013.11,7.5
2013.12,8
2014.01,8
2014.02,10.9
2014.03,10
2014.04,10.1
2014.05,8.9
2014.06,9.6
2014.07,8.7
2014.08,8.5
2014.09,8.6
2014.1,8.1
2014.11,8
2014.12,8.7
2015.01,9
2015.02,11
2015.03,10.6
2015.04,10.2
2015.05,9.4
2015.06,9.8
2015.07,8.9
2015.08,7.8
2015.09,7.9
2015.1,7.4
2015.11,8.2
2015.12,8.3
2016.01,9.4
2016.02,12.4
2016.03,11.6
2016.04,10.9
2016.05,9.7
2016.06,10.4
2016.07,9.3
2016.08,9.4
2016.09,9.5
2016.1,8.5
2016.11,8.1
2016.12,8.4
2017.01,8.5
2017.02,12.4
2017.03,11.3
2017.04,11.3
2017.05,9.5
2017.06,10.5
2017.07,9.2
2017.08,9.4
2017.09,9.3
2017.1,8.7
2017.11,9.4
2017.12,9.3
2018.01,8.6
2018.02,9.6
2018.03,11.6
2018.04,10.7
2018.05,10.6
2018.06,9.1
2018.07,9.2
2018.08,9.9
2018.09,9
2018.1,8.5
2018.11,8.1
2018.12,8.6
2019.01,8.7
2019.02,9.3
2019.03,10.9
2019.04,11.7
2019.05,10.1
2019.06,10.5
2019.07,9.7
2019.08,7.1
2019.09,7.4
2019.1,7.3
2019.11,7.1
2019.12,7.3
2020.01,7.5
2020.02,9
2020.03,9.7
2020.04,9.1
2020.05,10.3
2020.06,11
2020.07,9.7
2020.08,7.7
2020.09,8.9
2020.1,8.4
2020.11,8.2
2020.12,8.2
2021.01,9.3
2021.02,10
2021.03,10
2021.04,10
2021.05,9.3
2021.06,8.8
2021.07,7.1
2021.08,5.8
2021.09,5.3
2021.1,5.7
2021.11,5.5
2021.12,5.7
2022.01,5.7
2022.02,6.7
2022.03,7
2022.04,7.4
2022.05,7.3
2022.06,7
2022.07,6.6
2022.08,5.4
2022.09,6.2
2022.1,5.7
2022.11,5.9
2022.12,5.2
2023.01,5.8
2023.02,7
2023.03,7.2
2023.04,6.5
2023.05,5.9
2023.06,6.3
2023.07,6.1